作品ID,作品名,作品名読み,ソート用読み,副題,副題読み,原題,初出,分類番号,文字遣い種別,作品著作権フラグ,公開日,最終更新日,図書カードURL,人物ID,姓,名,姓読み,名読み,姓読みソート用,名読みソート用,姓ローマ字,名ローマ字,役割フラグ,生年月日,没年月日,人物著作権フラグ,底本名1,底本出版社名1,底本初版発行年1,入力に使用した版1,校正に使用した版1,底本の親本名1,底本の親本出版社名1,底本の親本初版発行年1,底本名2,底本出版社名2,底本初版発行年2,入力に使用した版2,校正に使用した版2,底本の親本名2,底本の親本出版社名2,底本の親本初版発行年2,入力者,校正者,テキストファイルURL,テキストファイル最終更新日,テキストファイル符号化方式,テキストファイル文字集合,テキストファイル修正回数,XHTML/HTMLファイルURL,XHTML/HTMLファイル最終更新日,XHTML/HTMLファイル符号化方式,XHTML/HTMLファイル文字集合,XHTML/HTMLファイル修正回数
057105,赤いカブトムシ,あかいカブトムシ,あかいかふとむし,,,,「たのしい三年生」講談社、1958（昭和33）年4月～1959（昭和34）年3月,NDC K913,新字新仮名,なし,2016-09-30,2016-09-06,http://www.aozora.gr.jp/cards/001779/card57105.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,新宝島,江戸川乱歩推理文庫、講談社,1988（昭和63）年11月8日,1988（昭和63）年11月8日第1版,1988（昭和63）年11月8日第1版,,,,,,,,,,,,sogo,岡村和彦,http://www.aozora.gr.jp/cards/001779/files/57105_ruby_59617.zip,2016-06-10,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/57105_59659.html,2016-06-10,ShiftJIS,JIS X 0208,0
057181,赤い部屋,あかいへや,あかいへや,,,,「新青年」博文館、1925（大正14）年4月,NDC 913,新字新仮名,なし,2016-08-28,2016-06-10,http://www.aozora.gr.jp/cards/001779/card57181.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004（平成16）年7月20日,2012（平成24）年8月15日7刷,2004（平成16）年7月20日初版1刷,江戸川乱歩全集　第七巻,平凡社,1931（昭和6）年12月,,,,,,,,,門田裕志,岡村和彦,http://www.aozora.gr.jp/cards/001779/files/57181_ruby_59529.zip,2016-06-10,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/57181_59566.html,2016-06-10,ShiftJIS,JIS X 0208,0
057240,悪魔の紋章,あくまのもんしょう,あくまのもんしよう,,,,「日の出」新潮社、1937（昭和12）年10月～1938（昭和13）年10月,NDC 913,新字新仮名,なし,2017-03-31,2017-01-12,http://www.aozora.gr.jp/cards/001779/card57240.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,江戸川乱歩全集　第12巻　悪魔の紋章,光文社文庫、光文社,2003（平成15）年12月20日,2003（平成15）年12月20日初版1刷,2003（平成15）年12月20日初版1刷,江戸川乱歩選集　第二巻,新潮社,1938（昭和13）年10月,,,,,,,,,門田裕志,北川松生,http://www.aozora.gr.jp/cards/001779/files/57240_ruby_60876.zip,2017-01-12,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/57240_60918.html,2017-01-12,ShiftJIS,JIS X 0208,0
057182,一枚の切符,いちまいのきっぷ,いちまいのきつふ,,,,「新青年」博文館、1923（大正12）年7月,NDC 913,新字新仮名,なし,2016-10-31,2016-09-09,http://www.aozora.gr.jp/cards/001779/card57182.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004（平成16）年7月20日,2012（平成24）年8月15日7刷,2004（平成16）年7月20日初版1刷,江戸川乱歩全集　第二巻,平凡社,1931（昭和6）年10月,,,,,,,,,門田裕志,岡村和彦,http://www.aozora.gr.jp/cards/001779/files/57182_ruby_60006.zip,2016-09-09,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/57182_60051.html,2016-09-09,ShiftJIS,JIS X 0208,0
056674,宇宙怪人,うちゅうかいじん,うちゆうかいしん,,,,「少年」光文社、1953（昭和28）年1月号～12月号,NDC K913,新字新仮名,なし,2017-06-16,2017-04-03,http://www.aozora.gr.jp/cards/001779/card56674.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,怪奇四十面相／宇宙怪人,江戸川乱歩推理文庫、講談社,1988（昭和63）年1月8日,1988（昭和63）年1月8日第1刷,1988（昭和63）年1月8日第1刷,,,,,,,,,,,,sogo,大久保ゆう,http://www.aozora.gr.jp/cards/001779/files/56674_ruby_61552.zip,2017-04-03,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/56674_61591.html,2017-04-03,ShiftJIS,JIS X 0208,0
056678,黄金豹,おうごんひょう,おうこんひよう,,,,「少年クラブ」大日本雄辯會講談社、1956（昭和31）年1月号～12月号,NDC K913,新字新仮名,なし,2017-08-10,2017-07-23,http://www.aozora.gr.jp/cards/001779/card56678.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,黄金豹／妖人ゴング,江戸川乱歩推理文庫、講談社,1988（昭和63）年4月8日,1988（昭和63）年4月8日第1刷,1988（昭和63）年4月8日第1刷,,,,,,,,,,,,sogo,茅宮君子,http://www.aozora.gr.jp/cards/001779/files/56678_ruby_62113.zip,2017-07-23,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/56678_62114.html,2017-07-23,ShiftJIS,JIS X 0208,0
056645,押絵と旅する男,おしえとたびするおとこ,おしえとたひするおとこ,,,,「新青年」博文館、1929（昭和4）年6月,NDC 913,新字新仮名,なし,2016-02-01,2016-01-01,http://www.aozora.gr.jp/cards/001779/card56645.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,江戸川乱歩全集　第5巻　押絵と旅する男,光文社文庫、光文社,2005（平成17）年1月20日,2005（平成17）年1月20日初版1刷,2013（平成25）年5月5日3刷,江戸川乱歩全集　第三巻,平凡社,1932（昭和7）年1月,,,,,,,,,砂場清隆,門田裕志,http://www.aozora.gr.jp/cards/001779/files/56645_ruby_58194.zip,2016-01-01,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/56645_58203.html,2016-01-01,ShiftJIS,JIS X 0208,0
057504,お勢登場,おせいとうじょう,おせいとうしよう,,,,「大衆文藝」1926（大正15）年7月,NDC 913,新字新仮名,なし,2017-09-01,2017-08-25,http://www.aozora.gr.jp/cards/001779/card57504.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,江戸川乱歩全集　第3巻　陰獣,光文社文庫、光文社,2005（平成17）年11月20日,2005（平成17）年11月20日初版1刷,2009（平成21）年7月20日2刷,創作探偵小説集第四巻　湖畔亭事件,春陽堂,1926（大正15）年9月,,,,,,,,,金城学院大学　電子書籍制作,門田裕志,http://www.aozora.gr.jp/cards/001779/files/57504_ruby_62502.zip,2017-08-25,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/57504_62544.html,2017-08-25,ShiftJIS,JIS X 0208,0
057183,恐ろしき錯誤,おそろしきさくご,おそろしきさくこ,,,,「新青年」博文館、1923（大正12）年11月,NDC 913,新字新仮名,なし,2016-10-31,2016-09-09,http://www.aozora.gr.jp/cards/001779/card57183.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004（平成16）年7月20日,2012（平成24）年8月15日7刷,2004（平成16）年7月20日初版1刷,江戸川乱歩全集　第八巻,平凡社,1931（昭和6）年5月,,,,,,,,,門田裕志,岡村和彦,http://www.aozora.gr.jp/cards/001779/files/57183_ruby_60007.zip,2016-09-09,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/57183_60052.html,2016-09-09,ShiftJIS,JIS X 0208,0
057505,踊る一寸法師,おどるいっすんぼうし,おとるいつすんほうし,,,,「新青年」博文館、1926（大正15）年1月,NDC 913,新字新仮名,なし,2017-04-29,2017-04-18,http://www.aozora.gr.jp/cards/001779/card57505.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,江戸川乱歩全集　第3巻　陰獣,光文社文庫、光文社,2005（平成17）年11月20日,2005（平成17）年11月20日初版1刷,2009（平成21）年7月20日2刷,創作探偵小説集第二巻　屋根裏の散歩者,春陽堂,1926（大正15）年1月,,,,,,,,,金城学院大学　電子書籍制作,門田裕志,http://www.aozora.gr.jp/cards/001779/files/57505_ruby_61213.zip,2017-04-04,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/57505_61256.html,2017-04-04,ShiftJIS,JIS X 0208,0
056673,怪奇四十面相,かいきよんじゅうめんそう,かいきよんしゆうめんそう,,,,「少年」光文社、1952（昭和27）年1月号～12月号,NDC K913,新字新仮名,なし,2016-05-13,2016-03-04,http://www.aozora.gr.jp/cards/001779/card56673.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,怪奇四十面相／宇宙怪人,江戸川乱歩推理文庫、講談社,1988（昭和63）年1月8日,1988（昭和63）年1月8日第1刷,1988（昭和63）年1月8日第1刷,,,,,,,,,,,,sogo,岡山勝美,http://www.aozora.gr.jp/cards/001779/files/56673_ruby_58784.zip,2016-03-04,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/56673_58827.html,2016-03-04,ShiftJIS,JIS X 0208,0
057225,怪人と少年探偵,かいじんとしょうねんたんてい,かいしんとしようねんたんてい,,,,「こども家の光」家の光協会、1960（昭和35）年9月～1961（昭和36）年9月,NDC K913,新字新仮名,なし,2016-06-30,2016-03-04,http://www.aozora.gr.jp/cards/001779/card57225.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,江戸川乱歩全集　第23巻　怪人と少年探偵,光文社文庫、光文社,2005（平成17）年7月20日,2005（平成17）年7月20日初版1刷,2005（平成17）年7月20日初版1刷,こども家の光,家の光協会,1960（昭和35）年9月～1961（昭和36）年9月,,,,,,,,,sogo,北川松生,http://www.aozora.gr.jp/cards/001779/files/57225_ruby_58894.zip,2016-03-04,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/57225_58936.html,2016-03-04,ShiftJIS,JIS X 0208,0
057228,怪人二十面相,かいじんにじゅうめんそう,かいしんにしゆうめんそう,,,,「少年倶楽部」大日本雄辯會講談社、1936（昭和11）年1月号～12月号,NDC K913,新字新仮名,なし,2016-04-04,2016-04-04,http://www.aozora.gr.jp/cards/001779/card57228.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,怪人二十面相／少年探偵団,江戸川乱歩推理文庫、講談社,1987（昭和62）年9月25日,1987（昭和62）年9月25日第1刷,1987（昭和62）年9月25日第1刷,,,,,,,,,,,,sogo,大久保ゆう,http://www.aozora.gr.jp/cards/001779/files/57228_ruby_58697.zip,2016-03-04,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/57228_58735.html,2016-03-04,ShiftJIS,JIS X 0208,0
057227,かいじん二十めんそう,かいじんにじゅうめんそう,かいしんにしゆうめんそう,,,,「たのしい二年生」講談社、1959（昭和34）年10月～1960（昭和35）年3月,NDC K913,新字新仮名,なし,2016-05-31,2016-03-04,http://www.aozora.gr.jp/cards/001779/card57227.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,江戸川乱歩全集　第21巻　ふしぎな人,光文社文庫、光文社,2005（平成17）年3月20日,2005（平成17）年3月20日初版1刷,2005（平成17）年3月20日初版1刷,たのしい二年生,講談社,1959（昭和34）年10月～1960（昭和35）年3月,,,,,,,,,sogo,北川松生,http://www.aozora.gr.jp/cards/001779/files/57227_ruby_58809.zip,2016-03-04,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/57227_58852.html,2016-03-04,ShiftJIS,JIS X 0208,0
057226,かいじん二十めんそう,かいじんにじゅうめんそう,かいしんにしゆうめんそう,,,,「たのしい一年生」講談社、1959（昭和34）年11月～1960（昭和35）年3月<br>「たのしい二年生」講談社、1960（昭和35）年4月～1960（昭和35）年12月,NDC K913,新字新仮名,なし,2016-06-09,2016-03-04,http://www.aozora.gr.jp/cards/001779/card57226.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,江戸川乱歩全集　第21巻　ふしぎな人,光文社文庫、光文社,2005（平成17）年3月20日,2005（平成17）年3月20日初版1刷,2005（平成17）年3月20日初版1刷,たのしい一年生,講談社,1959（昭和34）年11月～1960（昭和35）年3月,,,,,,たのしい二年生,講談社,1960（昭和35）年4月～1960（昭和35）年12月,sogo,北川松生,http://www.aozora.gr.jp/cards/001779/files/57226_ruby_58864.zip,2016-03-04,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/57226_58906.html,2016-03-04,ShiftJIS,JIS X 0208,0
056677,海底の魔術師,かいていのまじゅつし,かいていのましゆつし,,,,「少年」1955（昭和30）年1月号～12月号,NDC K913,新字新仮名,なし,2016-12-24,2016-09-09,http://www.aozora.gr.jp/cards/001779/card56677.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,鉄塔の怪人／海底の魔術師,江戸川乱歩推理文庫、講談社,1988（昭和63）年2月8日,1988（昭和63）年2月8日第1刷,1988（昭和63）年2月8日第1刷,,,,,,,,,,,,sogo,大久保ゆう,http://www.aozora.gr.jp/cards/001779/files/56677_ruby_60183.zip,2016-09-09,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/56677_60227.html,2016-09-09,ShiftJIS,JIS X 0208,0
057343,鏡地獄,かがみじごく,かかみしこく,,,,「大衆文芸」1926（大正15）年10月,NDC 913,新字新仮名,なし,2016-10-10,2016-09-09,http://www.aozora.gr.jp/cards/001779/card57343.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,江戸川乱歩傑作選,新潮文庫、新潮社,1960（昭和35）年12月24日,2013（平成25）年6月10日99刷,2012（平成24）年6月10日98刷,,,,,,,,,,,,isizuka,岡村和彦,http://www.aozora.gr.jp/cards/001779/files/57343_ruby_59977.zip,2016-09-09,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/57343_60022.html,2016-09-09,ShiftJIS,JIS X 0208,0
057506,火星の運河,かせいのうんが,かせいのうんか,,,,「新青年」博文館、1926（大正15）年4月,NDC 913,新字新仮名,なし,2017-04-29,2017-03-11,http://www.aozora.gr.jp/cards/001779/card57506.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,江戸川乱歩全集　第3巻　陰獣,光文社文庫、光文社,2005（平成17）年11月20日,2005（平成17）年11月20日初版1刷,2009（平成21）年7月20日2刷,創作探偵小説集第四巻　湖畔亭事件,春陽堂,1926（大正15）年9月,,,,,,,,,金城学院大学　電子書籍制作,門田裕志,http://www.aozora.gr.jp/cards/001779/files/57506_ruby_61212.zip,2017-03-11,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/57506_61255.html,2017-03-11,ShiftJIS,JIS X 0208,0
057185,黒手組,くろてぐみ,くろてくみ,,,,「新青年」博文館、1925（大正14）年3月,NDC 913,新字新仮名,なし,2016-11-10,2016-11-12,http://www.aozora.gr.jp/cards/001779/card57185.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004（平成16）年7月20日,2012（平成24）年8月15日7刷,2004（平成16）年7月20日初版1刷,江戸川乱歩全集　第四巻,平凡社,1931（昭和6）年8月,,,,,,,,,門田裕志,岡村和彦,http://www.aozora.gr.jp/cards/001779/files/57185_ruby_60071.zip,2016-11-10,ShiftJIS,JIS X 0208,1,http://www.aozora.gr.jp/cards/001779/files/57185_60117.html,2016-11-10,ShiftJIS,JIS X 0208,1
057405,黒蜥蜴,くろとかげ,くろとかけ,,,,「日の出　第三巻第一号―第十二号」1934（昭和9）年1月号～12月号,NDC 913,新字新仮名,なし,2016-10-21,2016-09-21,http://www.aozora.gr.jp/cards/001779/card57405.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,黒蜥蜴,江戸川乱歩推理文庫、講談社,1987（昭和62）年9月25日,1987（昭和62）年9月25日第1刷,1987（昭和62）年9月25日第1刷,,,,,,,,,,,,sogo,大久保ゆう,http://www.aozora.gr.jp/cards/001779/files/57405_ruby_59991.zip,2016-09-21,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/57405_60036.html,2016-09-21,ShiftJIS,JIS X 0208,0
057508,五階の窓,ごかいのまど,こかいのまと,01 合作の一（発端）,01 がっさくのいち（ほったん）,,「新青年」博文館、1926（大正15）年5月,NDC 913,新字新仮名,なし,2017-09-01,2017-08-25,http://www.aozora.gr.jp/cards/001779/card57508.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,江戸川乱歩全集　第3巻　陰獣,光文社文庫、光文社,2005（平成17）年11月20日,2005（平成17）年11月20日初版1刷,2009（平成21）年7月20日2刷,江戸川乱歩全集　第六巻,平凡社,1931（昭和6）年11月,,,,,,,,,金城学院大学　電子書籍制作,門田裕志,http://www.aozora.gr.jp/cards/001779/files/57508_ruby_62501.zip,2017-08-25,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/57508_62543.html,2017-08-25,ShiftJIS,JIS X 0208,0
058039,湖畔亭事件,こはんていじけん,こはんていしけん,,,,「サンデー毎日」大阪毎日新聞社、1926（大正15）年1月3日～5月2日,NDC 913,新字新仮名,なし,2017-06-03,2017-05-17,http://www.aozora.gr.jp/cards/001779/card58039.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,江戸川乱歩全集　第2巻　パノラマ島綺譚,光文社文庫、光文社,2004（平成16）年8月20日,2004（平成16）年8月20日初版1刷,2004（平成16）年8月20日初版1刷,創作探偵小説集第四巻『湖畔亭事件』,春陽堂,1926（大正15）年9月,,,,,,,,,nami,北川松生,http://www.aozora.gr.jp/cards/001779/files/58039_ruby_61534.zip,2017-05-14,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/58039_61573.html,2017-05-14,ShiftJIS,JIS X 0208,0
056680,サーカスの怪人,サーカスのかいじん,さあかすのかいしん,,,,「少年クラブ」大日本雄辯會講談社、1957（昭和32）年1月号～12月号,,新字新仮名,なし,2017-10-13,2017-09-24,http://www.aozora.gr.jp/cards/001779/card56680.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,魔法人形／サーカスの怪人,江戸川乱歩推理文庫、講談社,1988（昭和63）年5月6日,1988（昭和63）年5月6日第1刷,1988（昭和63）年5月6日第1刷,,,,,,,,,,,,sogo,茅宮君子,http://www.aozora.gr.jp/cards/001779/files/56680_ruby_62768.zip,2017-09-24,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/56680_62855.html,2017-09-24,ShiftJIS,JIS X 0208,0
056669,少年探偵団,しょうねんたんていだん,しようねんたんていたん,,,,「少年倶楽部」大日本雄辯會講談社、1937（昭和12）年1月号～12月号,NDC K913,新字新仮名,なし,2016-04-23,2016-03-04,http://www.aozora.gr.jp/cards/001779/card56669.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,怪人二十面相／少年探偵団,江戸川乱歩推理文庫、講談社,1987（昭和62）年9月25日,1987（昭和62）年9月25日第1刷,1987（昭和62）年9月25日第1刷,,,,,,,,,,,,sogo,大久保ゆう,http://www.aozora.gr.jp/cards/001779/files/56669_ruby_58718.zip,2016-03-04,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/56669_58756.html,2016-03-04,ShiftJIS,JIS X 0208,0
056646,心理試験,しんりしけん,しんりしけん,,,,「新青年」博文館、1925（大正14）年2月,NDC 913,新字新仮名,なし,2016-03-06,2016-01-01,http://www.aozora.gr.jp/cards/001779/card56646.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004（平成16）年7月20日,2004（平成16）年7月20日初版1刷,2004（平成16）年7月20日初版1刷,江戸川乱歩全集　第八巻,平凡社,1931（昭和6）年5月,,,,,,,,,砂場清隆,湖山ルル,http://www.aozora.gr.jp/cards/001779/files/56646_ruby_58227.zip,2016-01-01,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/56646_58241.html,2016-01-01,ShiftJIS,JIS X 0208,0
054836,随筆銭形平次,ずいひつぜにがたへいじ,すいひつせにかたへいし,19 探偵小説このごろ,19 たんていしょうせつこのごろ,,「毎日グラフ」1950（昭和25）年4月10日,NDC 914,新字新仮名,なし,2016-02-02,2016-01-01,http://www.aozora.gr.jp/cards/001670/card54836.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,野村胡堂探偵小説全集,作品社,2007（平成19）年4月15日,2007（平成19）年4月15日第1刷,2007（平成19）年4月15日第1刷,毎日グラフ, ,1950（昭和25）年4月10日,,,,,,,,,ばっちゃん,阿部哲也,http://www.aozora.gr.jp/cards/001670/files/54836_ruby_58195.zip,2016-01-01,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001670/files/54836_58204.html,2016-01-01,ShiftJIS,JIS X 0208,0
056671,青銅の魔人,せいどうのまじん,せいとうのましん,,,,「少年」光文社、1949（昭和24）年1月号～12月号,NDC K913,新字新仮名,なし,2016-09-14,2016-09-02,http://www.aozora.gr.jp/cards/001779/card56671.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,妖怪博士／青銅の魔人,江戸川乱歩推理文庫、講談社,1987（昭和62）年11月6日,1987（昭和62）年11月6日第1刷,1987（昭和62）年11月6日第1刷,,,,,,,,,,,,sogo,岡村和彦,http://www.aozora.gr.jp/cards/001779/files/56671_ruby_59594.zip,2016-09-02,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/56671_59636.html,2016-09-02,ShiftJIS,JIS X 0208,0
057186,接吻,せっぷん,せつふん,,,,「映画と探偵」映画と探偵社、1925（大正14）年12月,NDC 913,新字新仮名,なし,2016-12-08,2016-09-09,http://www.aozora.gr.jp/cards/001779/card57186.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004（平成16）年7月20日,2012（平成24）年8月15日7刷,2004（平成16）年7月20日初版1刷,江戸川乱歩全集　第十巻,平凡社,1931（昭和6）年9月,,,,,,,,,門田裕志,A.K.,http://www.aozora.gr.jp/cards/001779/files/57186_ruby_60160.zip,2016-09-09,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/57186_60204.html,2016-09-09,ShiftJIS,JIS X 0208,0
057187,双生児,そうせいじ,そうせいし,――ある死刑囚が教誨師にうちあけた話――,――あるしけいしゅうがきょうかいしにうちあけたはなし――,,「新青年」博文館、1924（大正13）年10月,NDC 913,新字新仮名,なし,2016-12-08,2016-09-09,http://www.aozora.gr.jp/cards/001779/card57187.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004（平成16）年7月20日,2012（平成24）年8月15日7刷,2004（平成16）年7月20日初版1刷,江戸川乱歩全集　第九巻,平凡社,1932（昭和7）年3月,,,,,,,,,門田裕志,A.K.,http://www.aozora.gr.jp/cards/001779/files/57187_ruby_60161.zip,2016-09-09,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/57187_60205.html,2016-09-09,ShiftJIS,JIS X 0208,0
057188,算盤が恋を語る話,そろばんがこいをかたるはなし,そろはんかこいをかたるはなし,,,,「写真報知」報知新聞社、1925（大正14）年3月15日,NDC 913,新字新仮名,なし,2016-07-28,2016-06-10,http://www.aozora.gr.jp/cards/001779/card57188.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004（平成16）年7月20日,2012（平成24）年8月15日7刷,2004（平成16）年7月20日初版1刷,江戸川乱歩全集　第十巻,平凡社,1931（昭和6）年9月,,,,,,,,,門田裕志,A.K.,http://www.aozora.gr.jp/cards/001779/files/57188_ruby_59453.zip,2016-06-10,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/57188_59493.html,2016-06-10,ShiftJIS,JIS X 0208,0
